Name,qid,Notes
Silur,,New king rising from Ordovician devastation
Chelicer,,Father of Silur
Animus,,Animal kingdom ancestor addressed by Silur
Eurypter,,Son of Silur
Chasmas,,Son of Silur with different evolutionary path
Belangkas,,Son of Chasmas climbing onto land from sea
Xiphos,,Son of Chasmas
Myriapus,,Earlier arthropod failing at terrestrial colonization
Soliber,,Son of Belangkas succeeding in terrestrial adaptation
Opiliona,,Daughter of Belangkas
Millipa,,Early millipede daughters grazed by Opiliona
Granny Long Legs,,Nickname for Opiliona (harvestmen/daddy longlegs ancestor)
Granny Harvest,,Alternative name for Opiliona's farming activities
Daddy Long Legs,,Modern descendants of Opiliona (harvestmen)
Harvestmen,,Modern arachnids descended from Opiliona
Pneumaran,,Son of Soliber with breathing adaptations
Kitzi,,Small but strong son of Soliber
Solaran,,Sun-associated son of Pneumaran
Acares,,Dwarf son of Pneumaran
Sarco,,Son of Acares
Trombo,,Son of Acares with mixed peaceful and parasitic descendants
Solifugon,,Son of Solaran
Ricinulon,,Son of Solaran
Byblos,,Book Knight son of Kitzi
Paras,,Small son of Kitzi with hunting descendants
Book Scorpions,,Descendants of Byblos protecting books from pests
Mesos,,Hunter son of Paras seeking prey globally
Holoxos,,Blood-drinking son of Paras walking among death
Arachnus,,Earlier arachnid lineage member
Thyrus,,Peaceful son of Holoxos drinking only blood of the dead
Ricinus,,Dark son of Holoxos becoming parasitic tick ancestor
Lilith,,Scorned woman whose blood brings disease through ticks
Midichlorians,,Bacteria living in tick mitochondria
Malarius,,Disease daughter of Lilith (malaria)
Lyme,,Disease daughter of Lilith transmitted by ticks
